trip_id,timestamp,date,hour,day_of_week,is_weekend,is_peak_hour,zone,zone_tier,vehicle_type,weather,distance_km,duration_min,demand_score,surge_multiplier,base_fare_usd,final_fare_usd,operating_cost_usd,driver_earnings_usd,driver_net_usd,platform_commission,passenger_rating
T01270,2024-01-11T07:29:46Z,2024-01-11,12,Thu,FALSE,FALSE,Suburb_South,3,Non-EV,Stormy,7.02,22.4,22.6,1.52,11.93,18.14,1.97,16.17,12.54,3.63,4.2
T01271,2024-01-08T09:22:17Z,2024-01-08,14,Mon,FALSE,FALSE,Downtown,1,Non-EV,Clear,6.49,18.9,45.3,1.89,11.02,20.84,1.82,19.02,14.85,4.17,3.5
T01272,2024-01-22T04:39:36Z,2024-01-22,10,Mon,FALSE,FALSE,Downtown,1,EV,Stormy,2.61,3.1,41,1.83,4.69,8.59,0.31,8.28,6.56,1.72,3.7
T01273,2024-01-07T07:47:55Z,2024-01-07,13,Sun,TRUE,FALSE,Downtown,1,EV,Rainy,6.7,18.8,48.5,2.16,12.06,26.05,0.8,25.25,20.04,5.21,4.2
T01274,2024-01-14T01:43:23Z,2024-01-14,7,Sun,TRUE,TRUE,Suburb_South,3,Non-EV,Clear,10.8,43.6,61,2.33,18.36,42.78,3.02,39.76,31.2,8.56,4.3
T01275,2024-01-21T15:46:22Z,2024-01-21,21,Sun,TRUE,FALSE,Suburb_South,3,EV,Rainy,10.55,31.8,21.6,1.39,18.99,26.39,1.27,25.12,19.84,5.28,4.4
T01276,2024-01-20T23:25:22Z,2024-01-20,4,Sun,TRUE,FALSE,Midtown,2,Non-EV,Clear,6.78,21.2,31.4,1.55,11.53,17.88,1.9,15.98,12.4,3.58,3.6
T01277,2024-01-06T04:29:17Z,2024-01-06,9,Sat,TRUE,TRUE,Midtown,2,Non-EV,Rainy,7.92,33.9,63.5,2.17,13.47,29.23,2.22,27.01,21.16,5.85,4.3
T01278,2024-01-22T17:21:22Z,2024-01-22,22,Mon,FALSE,FALSE,Suburb_North,3,Non-EV,Clear,8.93,26.4,0,1,15.18,15.18,2.5,12.68,9.64,3.04,5
T01279,2024-01-10T13:37:30Z,2024-01-10,19,Wed,FALSE,TRUE,Downtown,1,EV,Clear,8.31,32.2,73,2.31,14.95,34.55,1,33.55,26.64,6.91,4
T01280,2024-01-11T08:14:44Z,2024-01-11,13,Thu,FALSE,FALSE,Airport,1,Non-EV,Rainy,19.24,56.6,54.1,2.29,32.7,74.89,5.39,69.5,54.52,14.98,5
T01281,2024-01-24T10:34:29Z,2024-01-24,16,Wed,FALSE,FALSE,Midtown,2,Non-EV,Clear,5.42,17.4,20.6,1.24,9.21,11.43,1.52,9.91,7.62,2.29,3.7
T01282,2024-01-11T16:57:59Z,2024-01-11,22,Thu,FALSE,FALSE,Airport,1,Non-EV,Clear,21.15,59.3,36.9,1.67,35.96,60.06,5.92,54.14,42.13,12.01,4
T01283,2024-01-09T06:22:32Z,2024-01-09,11,Tue,FALSE,FALSE,Airport,1,EV,Clear,18.24,51.4,45.4,1.86,32.83,61.06,2.19,58.87,46.66,12.21,4
T01284,2024-01-08T14:08:45Z,2024-01-08,19,Mon,FALSE,TRUE,Midtown,2,Non-EV,Clear,7.51,32.2,49.5,2.13,12.77,27.21,2.1,25.11,19.67,5.44,4
T01285,2024-01-01T13:52:56Z,2024-01-01,19,Mon,FALSE,TRUE,Airport,1,Non-EV,Clear,14.84,56,64.6,2.15,25.22,54.23,4.15,50.08,39.23,10.85,5
T01286,2024-01-20T11:01:50Z,2024-01-20,16,Sat,TRUE,FALSE,Suburb_North,3,EV,Rainy,10.25,39.1,26.5,1.47,18.45,27.13,1.23,25.9,20.47,5.43,4.6
T01287,2024-01-23T04:10:52Z,2024-01-23,9,Tue,FALSE,TRUE,Suburb_North,3,Non-EV,Clear,11.48,41.4,54.5,2.11,19.51,41.16,3.21,37.95,29.72,8.23,3.2
T01288,2024-01-19T16:55:28Z,2024-01-19,22,Fri,FALSE,FALSE,Downtown,1,EV,Stormy,4.42,17.1,58.8,2.29,7.95,18.2,0.53,17.67,14.03,3.64,4.5
T01289,2024-01-02T09:45:10Z,2024-01-02,15,Tue,FALSE,FALSE,Suburb_North,3,Non-EV,Clear,12.87,41.4,7.3,1.02,21.88,22.31,3.6,18.71,14.25,4.46,4.5
T01290,2024-01-16T14:08:41Z,2024-01-16,19,Tue,FALSE,TRUE,Airport,1,EV,Clear,15.83,55.5,77.8,2.44,28.5,69.54,1.9,67.64,53.73,13.91,4.4
T01291,2024-01-03T09:41:46Z,2024-01-03,15,Wed,FALSE,FALSE,Airport,1,EV,Rainy,19.3,58,48.4,1.91,34.73,66.34,2.32,64.02,50.75,13.27,4.1
T01292,2024-01-08T21:06:25Z,2024-01-08,2,Tue,FALSE,FALSE,Midtown,2,EV,Foggy,7.33,21.9,19.6,1.33,13.19,17.55,0.88,16.67,13.16,3.51,4.5
T01293,2023-12-31T19:24:58Z,2023-12-31,0,Mon,FALSE,FALSE,Airport,1,Non-EV,Rainy,20.04,67.1,49.1,1.92,34.07,65.42,5.61,59.81,46.73,13.08,5
T01294,2024-01-21T23:11:24Z,2024-01-21,4,Mon,FALSE,FALSE,Airport,1,Non-EV,Clear,22.56,75.6,14.5,1.18,38.36,45.26,6.32,38.94,29.89,9.05,4.3
T01295,2024-01-24T16:23:51Z,2024-01-24,21,Wed,FALSE,FALSE,Suburb_North,3,Non-EV,Clear,9.21,26.4,13.8,1.29,15.65,20.19,2.58,17.61,13.57,4.04,4
T01296,2024-01-04T19:11:26Z,2024-01-04,0,Fri,FALSE,FALSE,Suburb_North,3,EV,Clear,10.63,35.5,8.6,1.11,19.13,21.23,1.28,19.95,15.7,4.25,4.4
T01297,2024-01-18T17:52:25Z,2024-01-18,23,Thu,FALSE,FALSE,Midtown,2,EV,Foggy,6.74,22.9,32.1,1.69,12.12,20.49,0.81,19.68,15.58,4.1,4.4
T01298,2024-01-11T13:08:01Z,2024-01-11,18,Thu,FALSE,TRUE,Airport,1,EV,Clear,13.17,45.3,74.1,2.54,23.7,60.21,1.58,58.63,46.59,12.04,3.6
T01299,2024-01-21T02:42:22Z,2024-01-21,8,Sun,TRUE,TRUE,Airport,1,Non-EV,Clear,16.76,60.4,91.2,2.96,28.49,84.32,4.69,79.63,62.77,16.86,4.3
T01300,2024-01-11T17:58:10Z,2024-01-11,23,Thu,FALSE,FALSE,Suburb_South,3,EV,Clear,6.16,8.5,26.6,1.44,11.09,15.97,0.74,15.23,12.04,3.19,5
T01301,2024-01-24T19:08:17Z,2024-01-24,0,Thu,FALSE,FALSE,Suburb_South,3,EV,Clear,6.9,24.3,0,1,12.42,12.42,0.83,11.59,9.11,2.48,4.9
T01302,2024-01-30T09:09:41Z,2024-01-30,14,Tue,FALSE,FALSE,Downtown,1,EV,Clear,2.27,11.5,33.9,1.72,4.09,7.03,0.27,6.76,5.35,1.41,5
T01303,2024-01-15T06:26:51Z,2024-01-15,11,Mon,FALSE,FALSE,Downtown,1,Non-EV,Foggy,4.16,8.3,39.7,1.77,7.07,12.51,1.16,11.35,8.85,2.5,3.2
T01304,2024-01-03T03:09:54Z,2024-01-03,8,Wed,FALSE,TRUE,Downtown,1,EV,Foggy,4.71,29.6,62.6,1.99,8.47,16.85,0.56,16.29,12.92,3.37,4.7
T01305,2024-01-04T19:18:27Z,2024-01-04,0,Fri,FALSE,FALSE,Suburb_South,3,EV,Foggy,6.16,15.2,12.5,1.08,11.08,11.97,0.74,11.23,8.84,2.39,4.4
T01306,2024-01-27T14:25:16Z,2024-01-27,19,Sat,TRUE,TRUE,Suburb_South,3,EV,Rainy,9.47,29.6,54,1.99,17.05,33.93,1.14,32.79,26,6.79,4.6
T01307,2024-01-22T04:15:12Z,2024-01-22,9,Mon,FALSE,TRUE,Midtown,2,Non-EV,Stormy,8.76,40.4,49.5,1.96,14.89,29.19,2.45,26.74,20.9,5.84,4.3
T01308,2024-01-26T23:54:00Z,2024-01-26,5,Sat,TRUE,FALSE,Downtown,1,EV,Rainy,2.38,6.5,53.5,2.15,4.28,9.2,0.29,8.91,7.07,1.84,5
T01309,2024-01-27T21:13:03Z,2024-01-27,2,Sun,TRUE,FALSE,Airport,1,EV,Foggy,18.75,59.3,47.3,1.77,33.75,59.73,2.25,57.48,45.53,11.95,4.8
T01310,2024-01-15T02:09:21Z,2024-01-15,7,Mon,FALSE,TRUE,Midtown,2,Non-EV,Rainy,7.17,35.3,52.9,1.93,12.18,23.51,2.01,21.5,16.8,4.7,4.2
T01311,2024-01-02T18:34:50Z,2024-01-02,0,Wed,FALSE,FALSE,Downtown,1,EV,Clear,1.98,3,37.9,1.92,3.56,6.83,0.24,6.59,5.22,1.37,3.9
T01312,2024-01-22T08:48:45Z,2024-01-22,14,Mon,FALSE,FALSE,Suburb_South,3,Non-EV,Foggy,7.17,20.1,12.6,1.33,12.19,16.22,2.01,14.21,10.97,3.24,3.8
T01313,2024-01-08T22:17:19Z,2024-01-08,3,Tue,FALSE,FALSE,Airport,1,Non-EV,Clear,17.32,56.2,34.7,1.62,29.45,47.7,4.85,42.85,33.31,9.54,4
T01314,2024-01-10T13:38:15Z,2024-01-10,19,Wed,FALSE,TRUE,Downtown,1,EV,Clear,4.2,13.1,62.5,2.27,7.56,17.16,0.5,16.66,13.23,3.43,4.4
T01315,2024-01-12T07:44:08Z,2024-01-12,13,Fri,FALSE,FALSE,Airport,1,EV,Stormy,19.3,59.4,61.3,2.16,34.74,75.05,2.32,72.73,57.72,15.01,4.4
T01316,2024-01-10T16:36:38Z,2024-01-10,22,Wed,FALSE,FALSE,Suburb_North,3,EV,Clear,8.39,20.3,18.3,1.31,15.1,19.78,1.01,18.77,14.81,3.96,5
T01317,2024-01-03T17:28:40Z,2024-01-03,22,Wed,FALSE,FALSE,Suburb_South,3,EV,Clear,8.65,26.3,17.4,1.3,15.56,20.23,1.04,19.19,15.14,4.05,4.4
T01318,2024-01-18T04:56:54Z,2024-01-18,10,Thu,FALSE,FALSE,Suburb_South,3,Non-EV,Clear,7.2,17.7,19.2,1.51,12.23,18.47,2.01,16.46,12.77,3.69,4.5
T01319,2024-01-23T10:57:29Z,2024-01-23,16,Tue,FALSE,FALSE,Suburb_North,3,Non-EV,Clear,9.98,33.3,20.2,1.46,16.96,24.76,2.79,21.97,17.02,4.95,3.8
T01320,2024-01-16T06:44:34Z,2024-01-16,12,Tue,FALSE,FALSE,Suburb_North,3,Non-EV,Clear,6.22,19,26.9,1.55,10.57,16.38,1.74,14.64,11.36,3.28,3.4
T01321,2024-01-09T00:09:30Z,2024-01-09,5,Tue,FALSE,FALSE,Downtown,1,EV,Rainy,8.99,25.6,46.6,2,16.18,32.36,1.08,31.28,24.81,6.47,4.6
T01322,2024-01-14T02:37:28Z,2024-01-14,8,Sun,TRUE,TRUE,Midtown,2,Non-EV,Clear,1.02,14.1,58.7,2.24,1.73,3.89,0.29,3.6,2.82,0.78,5
T01323,2024-01-27T15:20:10Z,2024-01-27,20,Sat,TRUE,TRUE,Suburb_North,3,Non-EV,Clear,7.88,26.9,49.8,2.14,13.39,28.66,2.21,26.45,20.72,5.73,5
T01324,2024-01-28T09:49:23Z,2024-01-28,15,Sun,TRUE,FALSE,Downtown,1,EV,Clear,1,3.2,62.8,2.11,1.8,3.8,0.12,3.68,2.92,0.76,4.5
T01325,2024-01-16T09:51:43Z,2024-01-16,15,Tue,FALSE,FALSE,Downtown,1,Non-EV,Rainy,6.73,16.2,53.1,2.09,11.45,23.93,1.89,22.04,17.25,4.79,3.6
T01326,2024-01-23T17:55:16Z,2024-01-23,23,Tue,FALSE,FALSE,Suburb_South,3,Non-EV,Clear,7.7,29.2,14.8,1.27,13.09,16.62,2.16,14.46,11.14,3.32,4.2
T01327,2024-01-23T18:32:21Z,2024-01-23,0,Wed,FALSE,FALSE,Downtown,1,Non-EV,Rainy,1.82,6.9,35.5,1.83,3.1,5.67,0.51,5.16,4.03,1.13,3.7
T01328,2024-01-25T22:01:30Z,2024-01-25,3,Fri,FALSE,FALSE,Downtown,1,Non-EV,Rainy,1.58,5.4,52.3,2.19,2.68,5.87,0.44,5.43,4.26,1.17,3.5
T01329,2024-01-28T23:50:22Z,2024-01-28,5,Mon,FALSE,FALSE,Midtown,2,EV,Rainy,6.12,16.8,15.5,1.44,11.01,15.86,0.73,15.13,11.96,3.17,4.7
T01330,2024-01-13T10:54:19Z,2024-01-13,16,Sat,TRUE,FALSE,Airport,1,Non-EV,Clear,13.93,51.5,48.8,2.02,23.67,47.82,3.9,43.92,34.36,9.56,4.3
T01331,2024-01-18T21:54:34Z,2024-01-18,3,Fri,FALSE,FALSE,Midtown,2,Non-EV,Clear,4.63,13.5,25.6,1.44,7.87,11.33,1.3,10.03,7.76,2.27,4
T01332,2024-01-07T09:02:32Z,2024-01-07,14,Sun,TRUE,FALSE,Downtown,1,EV,Rainy,5.68,21.7,52.8,1.98,10.22,20.23,0.68,19.55,15.5,4.05,4.4
T01333,2024-01-26T13:07:22Z,2024-01-26,18,Fri,FALSE,TRUE,Airport,1,EV,Clear,24.05,81.3,74.6,2.4,43.3,103.91,2.89,101.02,80.24,20.78,4.7
T01334,2024-01-28T14:26:18Z,2024-01-28,19,Sun,TRUE,TRUE,Midtown,2,EV,Clear,4.8,21.7,53.5,1.98,8.63,17.09,0.58,16.51,13.09,3.42,4.3
T01335,2024-01-18T06:34:32Z,2024-01-18,12,Thu,FALSE,FALSE,Suburb_South,3,EV,Clear,7.8,26.3,14.7,1.33,14.03,18.67,0.94,17.73,14,3.73,4.5
T01336,2024-01-20T12:52:05Z,2024-01-20,18,Sat,TRUE,TRUE,Suburb_South,3,EV,Clear,14.25,52.7,46.3,1.8,25.64,46.16,1.71,44.45,35.22,9.23,4.3
T01337,2024-01-02T17:31:19Z,2024-01-02,23,Tue,FALSE,FALSE,Airport,1,Non-EV,Rainy,19.79,65.5,46.5,2.04,33.65,68.64,5.54,63.1,49.37,13.73,4.4
T01338,2024-01-08T02:34:27Z,2024-01-08,8,Mon,FALSE,TRUE,Suburb_South,3,EV,Clear,12.75,48.7,51.6,2.2,22.94,50.47,1.53,48.94,38.85,10.09,5
T01339,2024-01-16T00:56:02Z,2024-01-16,6,Tue,FALSE,FALSE,Downtown,1,Non-EV,Rainy,1.65,3.1,42.5,1.96,2.81,5.51,0.46,5.05,3.95,1.1,4.5
T01340,2024-01-16T05:15:32Z,2024-01-16,10,Tue,FALSE,FALSE,Downtown,1,Non-EV,Clear,4.4,7.7,41.2,1.84,7.48,13.76,1.23,12.53,9.78,2.75,3
T01341,2024-01-23T16:20:14Z,2024-01-23,21,Tue,FALSE,FALSE,Midtown,2,Non-EV,Foggy,6.85,24.7,16.3,1.27,11.65,14.79,1.92,12.87,9.91,2.96,4.4
T01342,2024-01-08T19:21:10Z,2024-01-08,0,Tue,FALSE,FALSE,Suburb_South,3,Non-EV,Clear,8.23,29.5,4,1.05,13.98,14.68,2.3,12.38,9.44,2.94,5
T01343,2024-01-21T09:40:23Z,2024-01-21,15,Sun,TRUE,FALSE,Downtown,1,EV,Foggy,2.12,6.8,61.4,2.2,3.82,8.4,0.25,8.15,6.47,1.68,3.8
T01344,2024-01-17T12:03:44Z,2024-01-17,17,Wed,FALSE,TRUE,Suburb_North,3,Non-EV,Rainy,8.27,31.7,57,2.18,14.07,30.67,2.32,28.35,22.22,6.13,4.8
T01345,2024-01-13T16:48:10Z,2024-01-13,22,Sat,TRUE,FALSE,Suburb_North,3,Non-EV,Clear,2.69,8.8,28.3,1.61,4.57,7.36,0.75,6.61,5.14,1.47,4.1
T01346,2024-01-26T14:21:30Z,2024-01-26,19,Fri,FALSE,TRUE,Downtown,1,Non-EV,Stormy,3.68,21.1,72.5,2.3,6.26,14.4,1.03,13.37,10.49,2.88,4.4
T01347,2024-01-04T02:54:06Z,2024-01-04,8,Thu,FALSE,TRUE,Downtown,1,EV,Foggy,7.73,31.4,80.3,2.55,13.91,35.48,0.93,34.55,27.45,7.1,3.9
T01348,2024-01-10T06:14:22Z,2024-01-10,11,Wed,FALSE,FALSE,Midtown,2,EV,Foggy,7.18,19.1,28.8,1.44,12.93,18.62,0.86,17.76,14.04,3.72,5
T01349,2024-01-23T00:00:43Z,2024-01-23,5,Tue,FALSE,FALSE,Downtown,1,EV,Clear,4.85,15.7,35.2,1.83,8.72,15.96,0.58,15.38,12.19,3.19,4.4
T01350,2024-01-17T04:03:37Z,2024-01-17,9,Wed,FALSE,TRUE,Suburb_South,3,Non-EV,Clear,6.93,25.6,43.1,2.02,11.78,23.81,1.94,21.87,17.11,4.76,4.9
T01351,2024-01-06T03:53:38Z,2024-01-06,9,Sat,TRUE,TRUE,Suburb_North,3,EV,Foggy,6.09,22.3,61.4,2.2,10.96,24.11,0.73,23.38,18.56,4.82,4.6
T01352,2024-01-21T05:16:19Z,2024-01-21,10,Sun,TRUE,FALSE,Downtown,1,Non-EV,Rainy,6.27,18.3,47,1.98,10.66,21.11,1.76,19.35,15.13,4.22,3.9
T01353,2024-01-03T22:19:41Z,2024-01-03,3,Thu,FALSE,FALSE,Downtown,1,EV,Foggy,9.81,32.6,39.2,1.62,17.66,28.62,1.18,27.44,21.72,5.72,5
T01354,2024-01-09T10:16:46Z,2024-01-09,15,Tue,FALSE,FALSE,Downtown,1,Non-EV,Clear,3.32,13.3,26,1.51,5.65,8.53,0.93,7.6,5.89,1.71,4
T01355,2024-01-22T11:49:07Z,2024-01-22,17,Mon,FALSE,TRUE,Downtown,1,Non-EV,Clear,2.79,9.5,60.1,2.31,4.74,10.94,0.78,10.16,7.97,2.19,4.4
T01356,2024-01-02T03:10:53Z,2024-01-02,8,Tue,FALSE,TRUE,Suburb_North,3,EV,Rainy,9.01,31,50,1.95,16.21,31.61,1.08,30.53,24.21,6.32,4.8
T01357,2024-01-04T00:51:09Z,2024-01-04,6,Thu,FALSE,FALSE,Midtown,2,Non-EV,Clear,5.04,18,17.8,1.45,8.57,12.43,1.41,11.02,8.53,2.49,4
T01358,2024-01-13T07:11:31Z,2024-01-13,12,Sat,TRUE,FALSE,Suburb_North,3,Non-EV,Clear,10.27,35.2,10.7,1.22,17.45,21.29,2.87,18.42,14.16,4.26,5
T01359,2024-01-18T15:59:54Z,2024-01-18,21,Thu,FALSE,FALSE,Downtown,1,Non-EV,Stormy,3.23,11.1,51.7,2.23,5.5,12.26,0.91,11.35,8.9,2.45,4.2
T01360,2024-01-06T16:29:16Z,2024-01-06,21,Sat,TRUE,FALSE,Airport,1,EV,Foggy,22.09,65.5,53.3,1.98,39.76,78.72,2.65,76.07,60.33,15.74,5
T01361,2024-01-15T19:17:46Z,2024-01-15,0,Tue,FALSE,FALSE,Downtown,1,Non-EV,Clear,2.72,7.8,42.3,1.73,4.62,7.99,0.76,7.23,5.63,1.6,4.6
T01362,2024-01-25T12:17:58Z,2024-01-25,17,Thu,FALSE,TRUE,Downtown,1,Non-EV,Clear,7.04,27.9,67,2.23,11.97,26.69,1.97,24.72,19.38,5.34,3.8
T01363,2024-01-03T12:46:44Z,2024-01-03,18,Wed,FALSE,TRUE,Suburb_South,3,Non-EV,Clear,9.54,28.9,42.4,1.66,16.22,26.93,2.67,24.26,18.87,5.39,4.2
T01364,2024-01-14T21:11:39Z,2024-01-14,2,Mon,FALSE,FALSE,Suburb_South,3,EV,Clear,7.39,20.3,0,1,13.3,13.3,0.89,12.41,9.75,2.66,4.6
T01365,2024-01-27T04:46:34Z,2024-01-27,10,Sat,TRUE,FALSE,Airport,1,Non-EV,Clear,19.6,63.7,42.3,1.92,33.31,63.96,5.49,58.47,45.68,12.79,3.4
T01366,2024-01-13T20:13:28Z,2024-01-13,1,Sun,TRUE,FALSE,Suburb_South,3,EV,Clear,9.23,30.3,22.5,1.47,16.61,24.42,1.11,23.31,18.43,4.88,5
T01367,2024-01-09T01:41:31Z,2024-01-09,7,Tue,FALSE,TRUE,Downtown,1,Non-EV,Stormy,8.22,29.9,79.2,2.46,13.98,34.39,2.3,32.09,25.21,6.88,4.9
T01368,2024-01-02T11:38:12Z,2024-01-02,17,Tue,FALSE,TRUE,Airport,1,EV,Clear,18.82,60.6,82.2,2.64,33.88,89.43,2.26,87.17,69.28,17.89,4.4
T01369,2024-01-27T07:38:47Z,2024-01-27,13,Sat,TRUE,FALSE,Airport,1,EV,Stormy,20.12,63.7,61.1,2.2,36.21,79.66,2.41,77.25,61.32,15.93,3.6
T01370,2024-01-05T04:58:38Z,2024-01-05,10,Fri,FALSE,FALSE,Suburb_South,3,Non-EV,Foggy,8.07,23.2,15.1,1.37,13.72,18.8,2.26,16.54,12.78,3.76,5
T01371,2024-01-10T07:00:52Z,2024-01-10,12,Wed,FALSE,FALSE,Airport,1,EV,Rainy,16.15,47.5,49.2,1.99,29.07,57.84,1.94,55.9,44.33,11.57,4.3
T01372,2024-01-21T04:32:35Z,2024-01-21,10,Sun,TRUE,FALSE,Downtown,1,EV,Clear,7.11,17.5,45.7,2.03,12.81,26,0.85,25.15,19.95,5.2,4.2
T01373,2024-01-09T05:59:27Z,2024-01-09,11,Tue,FALSE,FALSE,Downtown,1,EV,Clear,3.95,7.4,36.9,1.65,7.12,11.74,0.47,11.27,8.92,2.35,3.6
T01374,2024-01-13T12:18:51Z,2024-01-13,17,Sat,TRUE,TRUE,Airport,1,EV,Clear,17.48,71.9,70.9,2.5,31.46,78.66,2.1,76.56,60.83,15.73,4
T01375,2024-01-15T09:31:55Z,2024-01-15,15,Mon,FALSE,FALSE,Downtown,1,Non-EV,Foggy,1.88,3,46.7,2,3.19,6.38,0.53,5.85,4.57,1.28,4.7
T01376,2024-01-08T00:19:09Z,2024-01-08,5,Mon,FALSE,FALSE,Midtown,2,EV,Clear,6.87,15,29.8,1.74,12.36,21.51,0.82,20.69,16.39,4.3,5
T01377,2024-01-11T13:48:29Z,2024-01-11,19,Thu,FALSE,TRUE,Airport,1,EV,Rainy,18.7,67.8,81.5,2.62,33.67,88.21,2.24,85.97,68.33,17.64,3.9
T01378,2024-01-02T20:17:28Z,2024-01-02,1,Wed,FALSE,FALSE,Suburb_North,3,Non-EV,Rainy,9.05,27.5,2,1.22,15.39,18.78,2.54,16.24,12.48,3.76,4
T01379,2024-01-11T14:12:01Z,2024-01-11,19,Thu,FALSE,TRUE,Midtown,2,EV,Rainy,6.36,26.6,44.7,1.73,11.45,19.82,0.76,19.06,15.1,3.96,4.7
T01380,2024-01-30T06:14:40Z,2024-01-30,11,Tue,FALSE,FALSE,Airport,1,Non-EV,Clear,16.28,52.7,33.3,1.68,27.67,46.49,4.56,41.93,32.63,9.3,4
T01381,2024-01-06T11:20:42Z,2024-01-06,16,Sat,TRUE,FALSE,Downtown,1,EV,Rainy,4.47,19.2,66.1,2.35,8.05,18.92,0.54,18.38,14.6,3.78,4.9
T01382,2024-01-26T22:15:44Z,2024-01-26,3,Sat,TRUE,FALSE,Downtown,1,Non-EV,Foggy,6.87,27.8,65.1,2.2,11.68,25.7,1.92,23.78,18.64,5.14,5
T01383,2024-01-04T03:33:39Z,2024-01-04,9,Thu,FALSE,TRUE,Midtown,2,Non-EV,Clear,3.47,18.7,48.6,2.02,5.9,11.92,0.97,10.95,8.57,2.38,4.5
T01384,2024-01-06T14:14:38Z,2024-01-06,19,Sat,TRUE,TRUE,Airport,1,EV,Clear,18.78,65.1,81.1,2.69,33.8,90.92,2.25,88.67,70.49,18.18,4.3
T01385,2024-01-22T16:12:45Z,2024-01-22,21,Mon,FALSE,FALSE,Downtown,1,EV,Stormy,1,3,61.3,2.14,1.8,3.85,0.12,3.73,2.96,0.77,4.8
T01386,2024-01-08T21:04:42Z,2024-01-08,2,Tue,FALSE,FALSE,Downtown,1,Non-EV,Foggy,10,27.4,39.4,1.86,17.01,31.63,2.8,28.83,22.5,6.33,3.8
T01387,2024-01-07T01:44:42Z,2024-01-07,7,Sun,TRUE,TRUE,Suburb_South,3,Non-EV,Clear,6.77,28.7,54.1,2.05,11.51,23.6,1.9,21.7,16.98,4.72,4.1
T01388,2024-01-18T05:55:28Z,2024-01-18,11,Thu,FALSE,FALSE,Downtown,1,Non-EV,Clear,1,3,28.7,1.5,1.7,2.55,0.28,2.27,1.76,0.51,4.7
T01389,2024-01-03T07:13:29Z,2024-01-03,12,Wed,FALSE,FALSE,Midtown,2,EV,Foggy,6.64,23.3,24.5,1.34,11.95,16.02,0.8,15.22,12.02,3.2,4.1
T01390,2024-01-14T22:16:19Z,2024-01-14,3,Mon,FALSE,FALSE,Suburb_South,3,Non-EV,Clear,9.54,29.2,29,1.54,16.22,24.98,2.67,22.31,17.31,5,4.7
T01391,2024-01-09T22:39:41Z,2024-01-09,4,Wed,FALSE,FALSE,Downtown,1,EV,Clear,4.38,11.9,38.5,1.59,7.88,12.52,0.53,11.99,9.49,2.5,4.4
T01392,2024-01-27T11:48:20Z,2024-01-27,17,Sat,TRUE,TRUE,Downtown,1,Non-EV,Clear,7.6,29.5,72.4,2.48,12.93,32.06,2.13,29.93,23.52,6.41,5
T01393,2024-01-07T02:50:26Z,2024-01-07,8,Sun,TRUE,TRUE,Airport,1,Non-EV,Stormy,20.88,71.6,100,3,35.49,106.47,5.85,100.62,79.33,21.29,4.4
T01394,2024-01-16T09:38:17Z,2024-01-16,15,Tue,FALSE,FALSE,Downtown,1,Non-EV,Clear,4.6,8.4,42.9,1.7,7.81,13.28,1.29,11.99,9.33,2.66,4.1
T01395,2024-01-01T04:41:46Z,2024-01-01,10,Mon,FALSE,FALSE,Downtown,1,EV,Clear,6.54,21.7,50,2.02,11.77,23.78,0.78,23,18.24,4.76,4.4
T01396,2024-01-16T13:48:28Z,2024-01-16,19,Tue,FALSE,TRUE,Downtown,1,EV,Foggy,9.29,35.4,69.7,2.24,16.72,37.46,1.11,36.35,28.86,7.49,3.9
T01397,2024-01-12T08:05:44Z,2024-01-12,13,Fri,FALSE,FALSE,Downtown,1,Non-EV,Rainy,1.88,4.3,46.3,2,3.19,6.38,0.53,5.85,4.57,1.28,4.3
T01398,2023-12-31T19:36:15Z,2023-12-31,1,Mon,FALSE,FALSE,Downtown,1,EV,Clear,6.91,23.6,49.9,1.85,12.43,23,0.83,22.17,17.57,4.6,4.6
T01399,2024-01-17T18:17:45Z,2024-01-17,23,Wed,FALSE,FALSE,Suburb_North,3,Non-EV,Foggy,7.47,21.5,24.4,1.59,12.7,20.19,2.09,18.1,14.06,4.04,3.9
T01400,2024-01-14T04:56:04Z,2024-01-14,10,Sun,TRUE,FALSE,Downtown,1,EV,Clear,6.14,15.3,36.9,1.79,11.05,19.77,0.74,19.03,15.08,3.95,4.7
T01401,2024-01-19T05:56:14Z,2024-01-19,11,Fri,FALSE,FALSE,Downtown,1,Non-EV,Rainy,4.7,16.3,45.7,2.06,7.98,16.45,1.31,15.14,11.85,3.29,5
T01402,2024-01-02T06:39:12Z,2024-01-02,12,Tue,FALSE,FALSE,Midtown,2,EV,Stormy,6.51,13.7,38.1,1.81,11.71,21.2,0.78,20.42,16.18,4.24,4.9
T01403,2024-01-20T08:28:33Z,2024-01-20,13,Sat,TRUE,FALSE,Midtown,2,EV,Rainy,6.72,24.3,31.6,1.57,12.1,18.99,0.81,18.18,14.38,3.8,3.9
T01404,2024-01-10T11:04:08Z,2024-01-10,16,Wed,FALSE,FALSE,Airport,1,EV,Clear,18.52,64.2,32.2,1.57,33.34,52.34,2.22,50.12,39.65,10.47,3.8
T01405,2024-01-05T12:35:05Z,2024-01-05,18,Fri,FALSE,TRUE,Midtown,2,Non-EV,Clear,7.52,20,38.1,1.81,12.79,23.15,2.11,21.04,16.41,4.63,5
T01406,2024-01-07T03:02:57Z,2024-01-07,8,Sun,TRUE,TRUE,Suburb_South,3,Non-EV,Clear,10.24,41.4,44.8,2.08,17.41,36.22,2.87,33.35,26.11,7.24,3.8
